sum_Episode,Episode, Score, Avg.Score,eps-greedy,success,failed,meet_threaten,loss,step,Q-value,energy_cost,task_collect,Energy_Efficent,UE_waiting_time,Covered_rate
302.0,27742,-12.077187272290743,-12.077187272290743,0.0,0.0,0.0,0.0,0.0,100.0,0,12.354987454515264,0.0,0.0,0.0,0.0
304.0,27921,35.30035109933412,35.30035109933412,0.0,0.0,0.0,0.0,0.0,79.0,0,2.9008944583832004,0.0,0.0,0.0,0.0
306.0,28121,9.058025866189006,9.058025866189006,0.0,0.0,0.0,0.0,0.0,100.0,0,5.5171275227630865,0.0,0.0,0.0,0.0
308.0,28317,15.99634126927895,15.99634126927895,0.0,0.0,0.0,0.0,0.0,96.0,0,2.5480049691971605,0.0,0.0,0.0,0.0
310.0,28517,-1.770539480170541,-1.770539480170541,0.0,0.0,0.0,0.0,0.0,100.0,0,7.599145696499855,0.0,0.0,0.0,0.0
312.0,28717,-9.476010844964641,-9.476010844964641,0.0,0.0,0.0,0.0,0.0,100.0,0,11.465209435107292,0.0,0.0,0.0,0.0
314.0,28899,32.53667966241149,32.53667966241149,0.0,0.0,0.0,0.0,0.0,82.0,0,2.7884857489528314,0.0,0.0,0.0,0.0
316.0,29099,12.447358015063408,12.447358015063408,0.0,0.0,0.0,0.0,0.0,100.0,0,4.691761678790836,0.0,0.0,0.0,0.0
318.0,29253,9.847378422831824,9.847378422831824,0.0,0.0,0.0,0.0,0.0,100.0,0,5.60311107101502,0.0,0.0,0.0,0.0
320.0,29453,3.5114475603922486,3.5114475603922486,0.0,0.0,0.0,0.0,0.0,100.0,0,7.346825290611006,0.0,0.0,0.0,0.0
322.0,29629,35.44296446762371,35.44296446762371,0.0,0.0,0.0,0.0,0.0,79.0,0,2.6148982294659735,0.0,0.0,0.0,0.0
324.0,29829,-3.0505768492908985,-3.0505768492908985,0.0,0.0,0.0,0.0,0.0,100.0,0,8.190916323209484,0.0,0.0,0.0,0.0
326.0,30029,-3.927800739706825,-3.927800739706825,0.0,0.0,0.0,0.0,0.0,100.0,0,9.504463480471781,0.0,0.0,0.0,0.0
328.0,30229,-2.4075721698056824,-2.4075721698056824,0.0,0.0,0.0,0.0,0.0,100.0,0,9.221771328802353,0.0,0.0,0.0,0.0
330.0,30428,-7.757564011691464,-7.757564011691464,0.0,0.0,0.0,0.0,0.0,100.0,0,10.435205974308415,0.0,0.0,0.0,0.0
332.0,30613,4.8644622622346105,4.8644622622346105,0.0,0.0,0.0,0.0,0.0,100.0,0,5.576725997462925,0.0,0.0,0.0,0.0
334.0,30813,-5.1647954444912685,-5.1647954444912685,0.0,0.0,0.0,0.0,0.0,100.0,0,10.162537063984324,0.0,0.0,0.0,0.0
336.0,31005,27.14861317073407,27.14861317073407,0.0,0.0,0.0,0.0,0.0,92.0,0,2.6023602749685395,0.0,0.0,0.0,0.0
338.0,31200,10.548888968153868,10.548888968153868,0.0,0.0,0.0,0.0,0.0,100.0,0,5.126114228288735,0.0,0.0,0.0,0.0
340.0,31388,28.139878157431763,28.139878157431763,0.0,0.0,0.0,0.0,0.0,88.0,0,2.827858101857487,0.0,0.0,0.0,0.0
342.0,31493,36.23740586511387,36.23740586511387,0.0,0.0,0.0,0.0,0.0,77.0,0,2.7177676338938737,0.0,0.0,0.0,0.0
344.0,31634,37.721705850085286,37.721705850085286,0.0,0.0,0.0,0.0,0.0,75.0,0,2.9274509217363955,0.0,0.0,0.0,0.0
346.0,31832,-1.7773029851245212,-1.7773029851245212,0.0,0.0,0.0,0.0,0.0,100.0,0,8.01164383257223,0.0,0.0,0.0,0.0
348.0,31956,26.82116792679231,26.82116792679231,0.0,0.0,0.0,0.0,0.0,93.0,0,2.4425732328088894,0.0,0.0,0.0,0.0
350.0,32147,26.394800990466788,26.394800990466788,0.0,0.0,0.0,0.0,0.0,91.0,0,2.7862474825770356,0.0,0.0,0.0,0.0
352.0,32330,32.57286911365965,32.57286911365965,0.0,0.0,0.0,0.0,0.0,83.0,0,2.9185561135794895,0.0,0.0,0.0,0.0
354.0,32530,4.818237240156797,4.818237240156797,0.0,0.0,0.0,0.0,0.0,100.0,0,6.687343705454615,0.0,0.0,0.0,0.0
356.0,32730,8.23654291282947,8.23654291282947,0.0,0.0,0.0,0.0,0.0,100.0,0,5.246530781793039,0.0,0.0,0.0,0.0
358.0,32924,18.266773300051618,18.266773300051618,0.0,0.0,0.0,0.0,0.0,94.0,0,2.545468707570008,0.0,0.0,0.0,0.0
360.0,33124,5.127347220136244,5.127347220136244,0.0,0.0,0.0,0.0,0.0,100.0,0,6.482291494487797,0.0,0.0,0.0,0.0
362.0,33320,12.248159314268797,12.248159314268797,0.0,0.0,0.0,0.0,0.0,100.0,0,3.4435660256646425,0.0,0.0,0.0,0.0
